time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446850000	18.4026	6.79239	4.92236	1.004	0.454778	radar	0.223907	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5536	6.91551	4.79882	0.986136	0.398423	lidar	1.65964	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7067	7.1198	4.87964	0.990127	0.362449	radar	0.802424	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9095	7.24937	4.80982	0.953777	0.28721	lidar	3.60648	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9989	7.44116	4.66708	0.996757	0.34748	radar	3.7657	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0818	7.72784	4.78541	1.06301	0.415726	lidar	1.77719	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2063	7.92948	4.80057	1.07275	0.394184	radar	0.290483	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2823	8.15314	4.79586	1.11059	0.418783	lidar	1.25762	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3841	8.36045	4.81955	1.12198	0.393217	radar	2.17079	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.482	8.49881	4.67471	1.11703	0.359444	lidar	3.13732	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.576	8.70006	4.62832	1.13879	0.371849	radar	0.454253	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7399	8.87401	4.60226	1.11735	0.317968	lidar	3.8976	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8155	9.08923	4.54987	1.15418	0.361251	radar	1.02225	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9421	9.32848	4.62598	1.16632	0.353955	lidar	3.35571	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9883	9.54471	4.52929	1.21818	0.425181	radar	2.33347	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0691	9.79857	4.60728	1.24922	0.438876	lidar	1.10719	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1304	10.0521	4.70688	1.2763	0.431946	radar	7.45226	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1715	10.3422	4.81958	1.32603	0.469672	lidar	1.08155	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1843	10.5817	4.76829	1.38254	0.534802	radar	2.51553	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2381	10.8638	4.86483	1.41487	0.541967	lidar	2.1342	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2653	11.1288	4.93727	1.44276	0.529697	radar	4.88345	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3006	11.3636	4.9181	1.46398	0.523025	lidar	0.0336477	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2398	11.6181	4.84648	1.55631	0.656911	radar	9.261	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
